Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric
"Better for You, Chicken Fajita Pita made with Whole Grain without Salsa",220.0,12.0,35.0,23.0,3.0,4.0,1000.0,55.0,340.0,6.0,0.0,0.6862745098039216,1.0784313725490198,0.9167303284950343,2.450980392156863,0.45098039215686275
"Better for You, Chicken Teriyaki Bowl",,6.0,134.0,27.0,35.0,5.0,1910.0,40.0,690.0,1.0,0.0,1.2946859903381644,0.3864734299516908,0.22586109542631283,2.3067632850241546,0.26086956521739135
"Better for You, Grilled Chicken Salad",372.0,9.0,13.0,30.0,6.0,5.0,750.0,80.0,250.0,4.5,0.0,0.3466666666666667,2.1333333333333333,0.9350649350649349,2.5,0.8
"Better for You, Jr. Jumbo Jack",150.0,26.0,33.0,14.0,6.0,2.0,560.0,30.0,420.0,7.0,1.0,0.5238095238095238,0.47619047619047616,1.6079158936301794,1.1111111111111112,0.22222222222222224
Bacon & Egg Chicken Sandwich,240.0,39.0,37.0,37.0,1.0,2.0,1630.0,300.0,650.0,11.0,0.5,0.3794871794871795,3.076923076923077,1.5584415584415583,2.08974358974359,0.3794871794871795
Brunch Burger,215.0,55.0,32.0,37.0,3.0,2.0,730.0,320.0,770.0,22.0,2.0,0.27705627705627706,2.770562770562771,1.8552875695732838,0.7900432900432901,0.3203463203463204
Brunchfast Mini Pancakes,71.0,1.5,28.0,4.0,6.0,1.0,350.0,0.0,140.0,0.0,0.0,1.3333333333333335,0.0,0.2782931354359926,2.0833333333333335,0.19047619047619047
Homestyle Potatoes,165.0,12.0,34.0,4.0,1.0,3.0,580.0,0.0,260.0,2.5,0.0,0.8717948717948719,0.0,1.1988011988011988,1.858974358974359,0.10256410256410257
Orange & Cranberry Mini Muffins,75.0,16.0,34.0,4.0,20.0,1.0,300.0,60.0,300.0,3.0,0.0,0.7555555555555555,1.3333333333333335,1.3852813852813854,0.8333333333333334,0.08888888888888889
Southwest Scrambler Plate with Bacon,307.0,28.0,38.0,23.0,3.0,4.0,1380.0,325.0,500.0,9.0,0.0,0.5066666666666667,4.333333333333334,1.4545454545454546,2.3,0.3066666666666667
Southwest Scrambler Plate with Sausage,327.0,38.0,38.0,21.0,2.0,4.0,1230.0,340.0,580.0,12.0,0.0,0.4367816091954024,3.908045977011494,1.7017465293327363,1.7672413793103448,0.24137931034482762
Bacon & Swiss Buttery Jack,240.0,59.0,48.0,42.0,11.0,3.0,1350.0,145.0,890.0,25.0,2.0,0.35955056179775285,1.0861423220973785,1.7218736319859917,1.2640449438202248,0.31460674157303375
Bacon Ultimate Cheeseburger,272.0,65.0,32.0,55.0,6.0,1.0,1590.0,165.0,930.0,25.0,3.0,0.22939068100358423,1.1827956989247312,1.8153889121631055,1.424731182795699,0.39426523297491045
Cheeseburger,123.0,21.0,32.0,16.0,5.0,1.0,780.0,35.0,380.0,8.0,1.0,0.5614035087719298,0.6140350877192983,1.4354066985645932,1.710526315789474,0.2807017543859649
Classic Buttery Jack,270.0,52.0,50.0,37.0,12.0,4.0,1150.0,130.0,820.0,23.0,1.5,0.4065040650406504,1.056910569105691,1.6471333544504276,1.16869918699187,0.3008130081300813
Double Jack,319.0,58.0,34.0,46.0,7.0,2.0,1130.0,140.0,830.0,22.0,3.0,0.27309236947791166,1.1244979919678715,1.8150524174620561,1.1345381526104419,0.36947791164658633
Hamburger,111.0,18.0,32.0,14.0,5.0,1.0,570.0,25.0,340.0,5.0,1.0,0.6274509803921569,0.4901960784313726,1.3750954927425516,1.397058823529412,0.27450980392156865
Jr. Bacon Cheeseburger,129.0,31.0,32.0,19.0,5.0,1.0,860.0,45.0,480.0,10.0,1.0,0.4444444444444445,0.625,1.6774891774891776,1.4930555555555556,0.2638888888888889
Jr. Jumbo Jack,150.0,26.0,33.0,14.0,6.0,2.0,560.0,30.0,420.0,7.0,1.0,0.5238095238095238,0.47619047619047616,1.6079158936301794,1.1111111111111112,0.22222222222222224
Jr. Jumbo Jack Cheeseburger,161.0,29.0,33.0,16.0,6.0,2.0,760.0,40.0,460.0,9.0,1.0,0.4782608695652174,0.5797101449275363,1.6374929418407678,1.3768115942028987,0.2318840579710145
Jumbo Jack,223.0,33.0,32.0,23.0,6.0,2.0,580.0,60.0,520.0,10.0,1.5,0.4102564102564103,0.7692307692307693,1.6483516483516483,0.9294871794871795,0.2948717948717949
Jumbo Jack Cheeseburger,245.0,40.0,33.0,28.0,6.0,2.0,990.0,80.0,600.0,14.0,1.5,0.3666666666666667,0.888888888888889,1.7316017316017316,1.375,0.3111111111111111
Sourdough Jack,227.0,45.0,39.0,35.0,7.0,3.0,1180.0,95.0,700.0,15.0,1.5,0.37142857142857144,0.9047619047619048,1.6697588126159553,1.4047619047619049,0.33333333333333337
Spicy Sriracha Burger,247.0,45.0,38.0,33.0,6.0,3.0,1330.0,90.0,680.0,14.0,1.5,0.37254901960784315,0.8823529411764707,1.7188693659281895,1.6299019607843137,0.3235294117647059
Ultimate Cheeseburger,253.0,59.0,31.0,47.0,5.0,1.0,1180.0,150.0,840.0,23.0,3.0,0.24603174603174605,1.1904761904761905,1.8243661100803958,1.1706349206349207,0.373015873015873
Chicken Fajita Pita made with Whole Grain without Salsa,244.0,12.0,36.0,24.0,4.0,4.0,1120.0,55.0,350.0,6.0,0.0,0.6857142857142857,1.0476190476190477,0.8905380333951763,2.666666666666667,0.4571428571428572
Chicken Fajita Pita made with Whole Grain with Salsa,220.0,12.0,35.0,23.0,3.0,4.0,1000.0,55.0,340.0,6.0,0.0,0.6862745098039216,1.0784313725490198,0.9167303284950343,2.450980392156863,0.45098039215686275
Chicken Nuggets (5 pc.),77.0,17.0,13.0,9.0,0.0,1.0,600.0,25.0,240.0,2.0,0.0,0.36111111111111116,0.6944444444444445,1.8398268398268398,2.0833333333333335,0.25
Chicken Nuggets (10 pc.),153.0,33.0,26.0,19.0,0.0,2.0,1210.0,50.0,480.0,4.5,0.0,0.36111111111111116,0.6944444444444445,1.7857142857142858,2.1006944444444446,0.2638888888888889
Chicken Nuggets (20 pc.),306.0,66.0,51.0,38.0,1.0,4.0,2420.0,105.0,950.0,9.0,0.0,0.3578947368421053,0.7368421052631579,1.8045112781954886,2.1228070175438596,0.26666666666666666
Chicken Sandwich,156.0,31.0,42.0,15.0,4.0,2.0,940.0,35.0,510.0,5.0,0.0,0.5490196078431373,0.4575163398692811,1.5788133435192258,1.5359477124183005,0.19607843137254902
Chicken Sandwich with Bacon,169.0,35.0,42.0,21.0,4.0,2.0,1210.0,45.0,560.0,7.0,0.5,0.5,0.5357142857142858,1.6233766233766234,1.8005952380952381,0.25
Crispy Chicken Strips,195.0,24.0,53.0,33.0,0.0,3.0,1580.0,60.0,560.0,3.0,0.0,0.6309523809523809,0.7142857142857143,1.1131725417439704,2.3511904761904763,0.39285714285714285
Fish Sandwich,173.0,19.0,45.0,16.0,4.0,2.0,890.0,30.0,410.0,3.0,0.0,0.7317073170731707,0.4878048780487805,1.2036743744060816,1.8089430894308944,0.2601626016260163
Homestyle Ranch Chicken Club,267.0,33.0,66.0,40.0,12.0,4.0,1880.0,80.0,710.0,8.0,0.0,0.619718309859155,0.7511737089201879,1.2072434607645874,2.206572769953052,0.37558685446009393
Jack's Spicy Chicken,232.0,29.0,48.0,26.0,5.0,2.0,770.0,55.0,550.0,5.0,0.0,0.5818181818181819,0.6666666666666667,1.369539551357733,1.1666666666666667,0.3151515151515152
Jack's Spicy Chicken with Cheese,255.0,35.0,49.0,30.0,5.0,2.0,1060.0,70.0,630.0,8.0,0.5,0.5185185185185186,0.7407407407407407,1.4430014430014428,1.402116402116402,0.31746031746031744
Sourdough Grilled Chicken Club,266.0,30.0,38.0,39.0,6.0,3.0,1500.0,95.0,580.0,8.0,0.0,0.4367816091954024,1.0919540229885059,1.3434841021047916,2.1551724137931036,0.4482758620689655
Bacon Ranch Monster Taco,117.0,24.0,19.0,11.0,1.0,1.0,660.0,30.0,340.0,6.0,0.5,0.37254901960784315,0.5882352941176471,1.8334606569900687,1.6176470588235294,0.21568627450980396
